iter	Passed	Remaining
695	40668	17763
696	40718	17700
697	40769	17639
698	40820	17577
699	40873	17517
700	40936	17460
701	40990	17400
702	41043	17339
703	41093	17278
704	41145	17216
705	41196	17155
706	41250	17095
707	41300	17033
708	41352	16972
709	41403	16911
710	41457	16851
711	41508	16790
712	41561	16729
713	41612	16668
714	41664	16607
715	41715	16546
716	41767	16485
717	41818	16424
718	41873	16364
719	41924	16304
720	41976	16243
721	42027	16182
722	42078	16121
723	42130	16060
724	42185	16001
725	42236	15940
726	42291	15881
727	42342	15820
728	42395	15760
729	42446	15699
730	42501	15639
731	42553	15579
732	42606	15519
733	42657	15459
734	42710	15398
735	42760	15338
736	42811	15277
737	42862	15216
738	42915	15156
739	42966	15096
740	43019	15036
741	43071	14976
742	43123	14916
743	43174	14855
744	43226	14795
745	43282	14736
746	43333	14676
747	43386	14616
748	43441	14557
749	43494	14498
750	43545	14437
751	43597	14377
752	43649	14318
753	43699	14257
754	43754	14198
755	43810	14139
756	43883	14086
757	43937	14027
758	43990	13968
759	44041	13907
760	44092	13847
761	44145	13788
762	44197	13728
763	44254	13670
764	44306	13610
765	44357	13550
766	44408	13490
767	44459	13430
768	44529	13376
769	44580	13316
770	44630	13256
771	44682	13196
772	44734	13136
773	44787	13077
774	44840	13018
775	44890	12958
776	44943	12898
777	44995	12839
778	45046	12779
779	45098	12720
780	45163	12664
781	45214	12604
782	45267	12545
783	45318	12485
784	45368	12425
785	45420	12366
786	45471	12306
787	45522	12247
788	45573	12187
789	45626	12128
790	45686	12071
791	45740	12012
792	45792	11953
793	45844	11894
794	45894	11834
795	45947	11775
796	46002	11717
797	46054	11657
798	46108	11599
799	46159	11539
800	46210	11480
801	46265	11422
802	46317	11363
803	46369	11304
804	46421	11244
805	46473	11185
806	46525	11127
807	46579	11068
808	46632	11009
809	46684	10950
810	46737	10892
811	46788	10832
812	46839	10773
813	46893	10715
814	46946	10656
815	46998	10597
816	47050	10538
817	47102	10479
818	47155	10421
819	47207	10362
820	47263	10304
821	47314	10245
822	47368	10187
823	47420	10128
824	47471	10069
825	47522	10010
826	47573	9951
827	47624	9893
828	47676	9834
829	47727	9775
830	47777	9716
831	47828	9657
832	47878	9598
833	47930	9540
834	47980	9481
835	48030	9422
836	48081	9363
837	48134	9305
838	48190	9247
839	48243	9189
840	48295	9130
841	48347	9072
842	48399	9013
843	48452	8955
844	48504	8897
845	48555	8838
846	48607	8780
847	48661	8722
848	48715	8664
849	48765	8605
850	48816	8547
851	48868	8488
852	48920	8430
853	48971	8372
854	49022	8313
855	49073	8255
856	49124	8196
857	49174	8138
858	49226	8080
859	49279	8022
860	49332	7964
861	49383	7905
862	49435	7847
863	49488	7789
864	49541	7731
865	49593	7673
866	49644	7615
867	49695	7557
868	49745	7499
869	49795	7440
870	49845	7382
871	49896	7324
872	49950	7266
873	50004	7208
874	50057	7151
875	50109	7093
876	50163	7035
877	50215	6977
878	50278	6921
879	50336	6864
880	50388	6806
881	50439	6748
882	50490	6690
883	50542	6632
884	50597	6574
885	50651	6517
886	50705	6459
887	50758	6401
888	50809	6344
889	50861	6286
890	50914	6228
891	50968	6171
892	51020	6113
893	51072	6055
894	51123	5997
895	51174	5939
896	51228	5882
897	51280	5824
898	51332	5767
899	51384	5709
900	51436	5651
901	51487	5593
902	51539	5536
903	51590	5478
904	51642	5421
905	51693	5363
906	51744	5305
907	51796	5248
908	51848	5190
909	51899	5132
910	51952	5075
911	52004	5017
912	52057	4960
913	52108	4902
914	52162	4845
915	52214	4788
916	52269	4731
917	52322	4673
918	52375	4616
919	52426	4558
920	52480	4501
921	52532	4444
922	52589	4387
923	52643	4329
924	52696	4272
925	52748	4215
926	52803	4158
927	52854	4100
928	52907	4043
929	52958	3986
930	53012	3928
931	53062	3871
932	53115	3814
933	53167	3757
934	53221	3699
935	53273	3642
936	53324	3585
